lat_floor,year,dens_pred
35,2007,1.0228947100969206
35,2009,3.871945592501233
35,2010,10.276921198838684
35,2011,12.889086531069006
35,2012,10.475587531320054
35,2013,5.5820916853962155
35,2014,3.9249168086941855
35,2015,6.546904755261592
35,2016,7.666880230635997
36,2007,11.552923659554116
36,2009,9.514344079937299
36,2010,5.544035966409167
36,2011,7.301960870189154
36,2012,9.026843222825258
36,2013,4.843827915142458
36,2014,4.493255811907993
36,2015,3.8423119080471686
36,2016,5.815477900985404
37,2007,6.474459160599995
37,2009,9.218803745152915
37,2010,7.3139764050049205
37,2011,9.32235238538631
37,2012,7.218484690194305
37,2013,3.1610009945667117
37,2014,4.201086242678132
37,2015,7.301557001820054
37,2016,4.8710296469057655
38,2007,4.357949759775179
38,2009,9.978364918040882
38,2010,3.632194370013205
38,2011,7.318325495318108
38,2012,3.7021290371568036
38,2013,3.0426571952622856
38,2014,5.899063356699848
38,2015,3.278179889563833
38,2016,3.264268878686048
39,2007,6.819000951064847
39,2009,6.869118892489303
39,2010,7.106478376372287
39,2011,6.4320216181663445
39,2012,4.057512395467848
39,2013,4.274041243618302
39,2014,6.18837205582393
39,2015,3.3608102640021422
39,2016,4.126001362678785
40,2007,3.2391253872372134
40,2009,5.14953560872622
40,2010,5.564874158177395
40,2011,5.726971621457996
40,2012,3.835283415529976
40,2013,3.342728361797272
40,2014,6.498954440998611
40,2015,7.984356447713031
40,2016,8.547698825079793
41,2007,2.8020357691133544
41,2009,1.349954190437908
41,2010,1.4459781719962579
41,2011,2.7294542978997733
41,2012,3.7925743413469832
41,2013,1.8263404824157663
41,2014,5.021740375676672
41,2015,3.3664636139339055
41,2016,3.8984530949003346
42,2007,1.0047559061411233
42,2009,1.0145615067643419
42,2010,1.013098492611067
42,2011,1.0257331329161075
42,2012,1.1091578521983738
42,2013,1.0314787727940553
42,2014,1.0370891805294915
42,2015,1.0577502140753399
42,2016,1.077835693863372
43,2007,1.0026870552308196
43,2009,1.01097974095692
43,2010,1.0277900360721792
43,2011,1.012925963018236
43,2012,1.0418218819821174
43,2013,1.0125577975667674
43,2014,1.0573621609875605
43,2015,1.01182462672043
43,2016,1.0476299956664712
44,2007,1.006141966297171
44,2009,1.019840894142848
44,2010,1.0532549856859819
44,2011,1.0309171254026293
44,2012,1.0620458270295035
44,2013,1.0360266575239194
44,2014,1.0446863426722584
44,2015,1.0579047826820456
44,2016,1.0903529682158435
