Year,feature,value
1972,Warm edge,36.07680687919045
1972,Centroid,36.897504226415755
1972,Cold edge,40.86020088101989
1973,Warm edge,36.17239087301587
1973,Centroid,37.48600640693637
1973,Cold edge,41.283914835164836
1974,Warm edge,36.09567272727273
1974,Centroid,37.87462663557706
1974,Cold edge,40.72273011363636
1975,Warm edge,35.71955587055587
1975,Centroid,37.58890705376939
1975,Cold edge,40.88288490920844
1976,Warm edge,35.63501999350465
1976,Centroid,37.738958848990855
1976,Cold edge,40.82151162124504
1977,Warm edge,36.52047154281059
1977,Centroid,37.82961920448427
1977,Cold edge,40.75870842936911
1978,Warm edge,36.499894627874035
1978,Centroid,38.08489987973929
1978,Cold edge,41.11783300963406
1979,Warm edge,36.3424012190546
1979,Centroid,37.44977926776752
1979,Cold edge,40.602632200735556
1980,Warm edge,36.12054266729669
1980,Centroid,37.30881203532962
1980,Cold edge,40.630645037761376
1981,Warm edge,36.41870102568065
1981,Centroid,38.14604895039034
1981,Cold edge,40.88623285653578
1982,Warm edge,36.41722653554175
1982,Centroid,37.90703399612955
1982,Cold edge,40.76318787297528
1983,Warm edge,35.312283765617096
1983,Centroid,36.93491936108132
1983,Cold edge,39.65385651385651
1984,Warm edge,36.75118053624397
1984,Centroid,38.14002300019504
1984,Cold edge,41.28952382778895
1985,Warm edge,36.462031525851195
1985,Centroid,37.996307223703646
1985,Cold edge,41.0759369482976
1986,Warm edge,37.21136028534345
1986,Centroid,38.7762839277497
1986,Cold edge,41.012551166911045
1987,Warm edge,37.020606254856254
1987,Centroid,38.32633535546919
1987,Cold edge,41.24541620284477
1988,Warm edge,35.620239316239314
1988,Centroid,37.633675606721575
1988,Cold edge,40.99212915479582
1989,Warm edge,37.07724474452973
1989,Centroid,37.75560212860031
1989,Cold edge,41.02308117212402
1990,Warm edge,35.44056044447759
1990,Centroid,37.68352722609914
1990,Cold edge,41.62936978480457
1991,Warm edge,35.39033529635258
1991,Centroid,37.32374973131035
1991,Cold edge,40.10909781707654
1992,Warm edge,36.14963095238095
1992,Centroid,37.376163577054655
1992,Cold edge,41.09314574314574
1993,Warm edge,36.15568131987928
1993,Centroid,37.6164963856246
1993,Cold edge,40.30803217101171
1994,Warm edge,36.229999061412926
1994,Centroid,37.82571438117656
1994,Cold edge,40.83958824488465
1995,Warm edge,36.226029281277725
1995,Centroid,38.167302622215296
1995,Cold edge,40.776067447045705
1996,Warm edge,37.008254115078266
1996,Centroid,38.37465826581885
1996,Cold edge,41.504999202551836
1997,Warm edge,36.43117184020283
1997,Centroid,38.29919678037573
1997,Cold edge,41.432236035787604
1998,Warm edge,35.934643099528316
1998,Centroid,37.74275875383571
1998,Cold edge,40.922717496021036
1999,Warm edge,36.281931307964555
1999,Centroid,38.38126123368019
1999,Cold edge,40.9644801683025
2000,Warm edge,37.35399638515554
2000,Centroid,38.982178997606745
2000,Cold edge,41.49783171791444
2001,Warm edge,36.710428608176585
2001,Centroid,38.99222232175391
2001,Cold edge,41.614885501964885
2002,Warm edge,37.10247571762826
2002,Centroid,39.14283990209936
2002,Cold edge,41.61768866632426
2003,Warm edge,36.16422375983061
2003,Centroid,38.36078662833397
2003,Cold edge,41.139028625639334
2004,Warm edge,37.205504385964915
2004,Centroid,38.83123818913812
2004,Cold edge,41.48861344537815
2005,Warm edge,37.12883477633478
2005,Centroid,38.746294159741794
2005,Cold edge,41.54981591058514
2006,Warm edge,37.109529768707574
2006,Centroid,38.854712994444434
2006,Cold edge,41.45288754043806
2007,Warm edge,36.52562916214383
2007,Centroid,38.8744388453367
2007,Cold edge,41.591177318332576
2008,Warm edge,36.22371804511278
2008,Centroid,38.73557503731362
2008,Cold edge,40.99675607938766
2009,Warm edge,36.072025510845364
2009,Centroid,38.13733248035928
2009,Cold edge,40.89699810121299
2010,Warm edge,35.40767977763485
2010,Centroid,38.11151218693743
2010,Cold edge,41.53337856776734
2011,Warm edge,37.2283789520824
2011,Centroid,39.180817930372434
2011,Cold edge,41.39274889464117
2012,Warm edge,36.03316545974047
2012,Centroid,38.50004747809483
2012,Cold edge,41.68034055471604
2013,Warm edge,36.80591333270043
2013,Centroid,39.139074926683705
2013,Cold edge,41.5145018731499
2014,Warm edge,36.19594668525555
2014,Centroid,38.13101545598749
2014,Cold edge,41.18061775373221
2015,Warm edge,36.755676742020555
2015,Centroid,38.65204099148714
2015,Cold edge,40.99120297422877
2016,Warm edge,36.41326594263436
2016,Centroid,38.16154903826217
2016,Cold edge,41.587195521483444
